2026-05-24 16:29:01,584 | trial | INFO | Trial spec: model=mlx-community/Qwen2.5-14B-Instruct-4bit stories=['hospital_incident', 'community_fair', 'restaurant_fire', 'school_trip', 'power_cut', 'missed_flight'] conditions=['linear', 'nonlinear', 'atemporal'] seeds=[0, 1, 2, 3, 4] temperature=0.7 max_new_tokens=80
2026-05-24 16:29:01,584 | trial | INFO | [1/90] hospital_incident | linear | seed=0
2026-05-24 21:57:14,212 | trial | INFO | [55/90] school_trip | nonlinear | seed=4
2026-05-24 22:04:12,846 | trial | INFO | [56/90] school_trip | atemporal | seed=0
2026-05-24 22:10:57,582 | trial | INFO | [57/90] school_trip | atemporal | seed=1
2026-05-24 22:17:42,295 | trial | INFO | [58/90] school_trip | atemporal | seed=2
2026-05-24 22:24:26,930 | trial | INFO | [59/90] school_trip | atemporal | seed=3
2026-05-24 22:31:11,202 | trial | INFO | [60/90] school_trip | atemporal | seed=4
2026-05-24 22:37:55,975 | trial | INFO | [61/90] power_cut | linear | seed=0
2026-05-24 22:43:19,371 | trial | INFO | [62/90] power_cut | linear | seed=1
2026-05-24 22:48:42,966 | trial | INFO | [63/90] power_cut | linear | seed=2
2026-05-24 22:54:06,495 | trial | INFO | [64/90] power_cut | linear | seed=3
2026-05-24 22:59:29,666 | trial | INFO | [65/90] power_cut | linear | seed=4
2026-05-24 23:04:53,181 | trial | INFO | [66/90] power_cut | nonlinear | seed=0
2026-05-24 23:10:19,946 | trial | INFO | [67/90] power_cut | nonlinear | seed=1
2026-05-24 23:15:46,668 | trial | INFO | [68/90] power_cut | nonlinear | seed=2
2026-05-24 23:21:13,546 | trial | INFO | [69/90] power_cut | nonlinear | seed=3
2026-05-24 23:26:40,463 | trial | INFO | [70/90] power_cut | nonlinear | seed=4
2026-05-24 23:32:07,338 | trial | INFO | [71/90] power_cut | atemporal | seed=0
2026-05-24 23:37:28,220 | trial | INFO | [72/90] power_cut | atemporal | seed=1
2026-05-24 23:42:49,051 | trial | INFO | [73/90] power_cut | atemporal | seed=2
2026-05-24 23:48:09,944 | trial | INFO | [74/90] power_cut | atemporal | seed=3
2026-05-24 23:53:30,414 | trial | INFO | [75/90] power_cut | atemporal | seed=4
2026-05-24 23:58:51,250 | trial | INFO | [76/90] missed_flight | linear | seed=0
2026-05-25 00:04:10,336 | trial | INFO | [77/90] missed_flight | linear | seed=1
2026-05-25 00:09:29,330 | trial | INFO | [78/90] missed_flight | linear | seed=2
2026-05-25 00:14:48,221 | trial | INFO | [79/90] missed_flight | linear | seed=3
2026-05-25 00:20:07,186 | trial | INFO | [80/90] missed_flight | linear | seed=4
2026-05-25 00:25:26,190 | trial | INFO | [81/90] missed_flight | nonlinear | seed=0
2026-05-25 00:30:48,342 | trial | INFO | [82/90] missed_flight | nonlinear | seed=1
2026-05-25 00:36:11,109 | trial | INFO | [83/90] missed_flight | nonlinear | seed=2
2026-05-25 00:41:33,334 | trial | INFO | [84/90] missed_flight | nonlinear | seed=3
2026-05-25 00:46:55,597 | trial | INFO | [85/90] missed_flight | nonlinear | seed=4
2026-05-25 00:52:17,432 | trial | INFO | [86/90] missed_flight | atemporal | seed=0
2026-05-25 00:57:28,556 | trial | INFO | [87/90] missed_flight | atemporal | seed=1
2026-05-25 01:02:40,399 | trial | INFO | [88/90] missed_flight | atemporal | seed=2
2026-05-25 01:07:52,077 | trial | INFO | [89/90] missed_flight | atemporal | seed=3
2026-05-25 01:13:03,557 | trial | INFO | [90/90] missed_flight | atemporal | seed=4
2026-05-25 01:18:14,700 | trial | INFO | Trial complete. 90 story-runs in 31753.1s
