2026-05-24 13:02:41,327 | trial | INFO | Trial spec: model=Qwen/Qwen2.5-7B-Instruct stories=['hospital_incident', 'community_fair', 'restaurant_fire', 'school_trip', 'power_cut', 'missed_flight'] conditions=['linear', 'nonlinear', 'atemporal'] seeds=[0, 1, 2, 3, 4] temperature=0.7 max_new_tokens=80
2026-05-24 13:02:41,332 | trial | INFO | [1/90] hospital_incident | linear | seed=0
2026-05-24 15:11:10,419 | trial | INFO | [61/90] power_cut | linear | seed=0
2026-05-24 15:13:56,372 | trial | INFO | [62/90] power_cut | linear | seed=1
2026-05-24 15:16:43,578 | trial | INFO | [63/90] power_cut | linear | seed=2
2026-05-24 15:19:36,122 | trial | INFO | [64/90] power_cut | linear | seed=3
2026-05-24 15:22:11,787 | trial | INFO | [65/90] power_cut | linear | seed=4
2026-05-24 15:24:49,921 | trial | INFO | [66/90] power_cut | nonlinear | seed=0
2026-05-24 15:26:56,407 | trial | INFO | [67/90] power_cut | nonlinear | seed=1
2026-05-24 15:29:10,063 | trial | INFO | [68/90] power_cut | nonlinear | seed=2
2026-05-24 15:31:36,573 | trial | INFO | [69/90] power_cut | nonlinear | seed=3
2026-05-24 15:33:42,444 | trial | INFO | [70/90] power_cut | nonlinear | seed=4
2026-05-24 15:36:14,223 | trial | INFO | [71/90] power_cut | atemporal | seed=0
2026-05-24 15:38:25,973 | trial | INFO | [72/90] power_cut | atemporal | seed=1
2026-05-24 15:40:52,690 | trial | INFO | [73/90] power_cut | atemporal | seed=2
2026-05-24 15:43:14,995 | trial | INFO | [74/90] power_cut | atemporal | seed=3
2026-05-24 15:45:34,459 | trial | INFO | [75/90] power_cut | atemporal | seed=4
2026-05-24 15:48:03,303 | trial | INFO | [76/90] missed_flight | linear | seed=0
2026-05-24 15:50:46,365 | trial | INFO | [77/90] missed_flight | linear | seed=1
2026-05-24 15:53:24,500 | trial | INFO | [78/90] missed_flight | linear | seed=2
2026-05-24 15:56:26,385 | trial | INFO | [79/90] missed_flight | linear | seed=3
2026-05-24 15:59:19,309 | trial | INFO | [80/90] missed_flight | linear | seed=4
2026-05-24 16:02:42,129 | trial | INFO | [81/90] missed_flight | nonlinear | seed=0
2026-05-24 16:05:26,411 | trial | INFO | [82/90] missed_flight | nonlinear | seed=1
2026-05-24 16:08:58,484 | trial | INFO | [83/90] missed_flight | nonlinear | seed=2
2026-05-24 16:13:04,375 | trial | INFO | [84/90] missed_flight | nonlinear | seed=3
2026-05-24 16:15:59,251 | trial | INFO | [85/90] missed_flight | nonlinear | seed=4
2026-05-24 16:18:55,042 | trial | INFO | [86/90] missed_flight | atemporal | seed=0
2026-05-24 16:21:20,468 | trial | INFO | [87/90] missed_flight | atemporal | seed=1
2026-05-24 16:24:07,651 | trial | INFO | [88/90] missed_flight | atemporal | seed=2
2026-05-24 16:25:23,739 | trial | INFO | [89/90] missed_flight | atemporal | seed=3
2026-05-24 16:26:38,422 | trial | INFO | [90/90] missed_flight | atemporal | seed=4
2026-05-24 16:27:53,268 | trial | INFO | Trial complete. 90 story-runs in 12311.9s
